# Logging touchpad events from /dev/input/by-path/platform-AMDI0010:03-event-mouse
# Press Enter to insert a label marker, Ctrl+C to stop
# timestamp_ms, event, x, y, dx, dy, displacement

   95771.9, TOUCH, 690, 365, 0, 0, 0.0
   96596.3, FINGER_UP, , , , ,

# --- gesture 11 ---
# LABEL: intentional
  104128.2, FINGER_DOWN, , , , ,
  104128.2, TOUCH, 880, 0, 0, 0, 0.0
  104379.2, FINGER_UP, , , , ,
  104545.0, FINGER_DOWN, , , , ,
  104545.1, TOUCH, 663, 436, 0, 0, 0.0
  104967.2, FINGER_UP, , , , ,
  107813.0, FINGER_DOWN, , , , ,
  107813.0, TOUCH, 437, 405, 0, 0, 0.0
  108368.3, FINGER_UP, , , , ,

# --- gesture 12 ---
# LABEL: intentional
  116757.1, FINGER_DOWN, , , , ,
  116757.2, TOUCH, 560, 308, 0, 0, 0.0
  117454.0, FINGER_UP, , , , ,

# --- gesture 13 ---
# LABEL: intentional
  122404.8, FINGER_DOWN, , , , ,
  122404.9, TOUCH, 0, 485, 0, 0, 0.0
  122570.3, FINGER_UP, , , , ,

# --- gesture 14 ---
# LABEL: accidental
  125473.8, FINGER_DOWN, , , , ,
  125473.9, TOUCH, 1273, 496, 0, 0, 0.0
  125744.6, FINGER_UP, , , , ,
  125957.1, FINGER_DOWN, , , , ,
  125964.2, FINGER_UP, , , , ,
